scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,panel
A3,default,treatment_effect_mean,-0.3374485596707819,25,0.88,2.4225875117589001e-4,0.009376093823781906,0.04253314021078704,0.17264148074,0.05502042012870664,1.018569030530304,95.28225814511075,0,5.68,31,0.96,0.12,0,0.5658574094887854,A
A4,default,treatment_effect_mean,-0.3374485596707819,25,0.88,-0.0014668998736180904,7.320947607818984e-4,0.009160841360879106,0.028660863499999988,0.00875139264267972,1.0100548757996908,398.8725811115507,0,0,0,0,0,0,0.5854941061031347,A
A5,default,treatment_effect_mean,-0.3374485596707819,25,0.88,-0.001104103069618081,-6.285536442180994e-4,0.019993212522276347,0.06303816595999999,0.01928394167805177,1.0098142987842376,175.58449820778287,0,1.04,19,0.2,0.04,0,0.7048644236982055,A
A6,default,treatment_effect_mean,-0.3374485596707819,25,0.96,-0.0010829962024180872,0.0019624343607819172,0.019249877210727104,0.08278362355999999,0.025121271674620933,1.2317552179070173,6.819743070821411,0.08,26.88,227,0.64,0.32,0,0.6941710097986976,A
A7,default,treatment_effect_mean,-0.5624142661179699,25,1,0.00114694058356986,5.106657829698769e-4,0.019822056224200565,0.06755479856000002,0.020592435352956313,1.0152242401821923,205.3202907240648,0,0,0,0,0,0,0.5040850457878211,A
A8,default,treatment_effect_mean,-0.3333333333333333,25,1,7.057399397333164e-4,0.0012726795083333187,0.008911252145371768,0.04854944586,0.014765355517727882,1.012147108694667,408.38408704629836,0,2.12,9,0.52,0,0,0.5163345631870512,A
A9,default,treatment_effect_mean,-0.15,25,0.96,-0.002656423495800009,0.0017479797399999886,0.022245220822184896,0.03435476606,0.012009322075981838,2.1397564324558864,2.6165328427173655,0.04,0,0,0,0,40,0.006786939192057161,A
F1,default,treatment_effect_mean,-0.3374485596707819,25,0.96,6.712972607819112e-4,-6.97841129218113e-4,0.007983334885091077,0.03381650032000002,0.010292729152876738,1.0074139164155334,522.5203911316721,0,0,0,0,0,0,0.7189941606021373,A
F2,default,treatment_effect_mean,-0.3333333333333333,25,0.92,-8.626115686666824e-4,3.1088763833331257e-4,0.005121854466376078,0.016990445979999994,0.0051469616892828324,1.0302103421635271,109.04764216834694,0,0,0,0,0,0,0.5946094993951125,A
F3,default,treatment_effect_mean,-0.15,25,0.88,5.086007793999925e-4,0.0012981527600000042,0.0029407137285088697,0.009535161079999995,0.00290188191587191,1.0230473077011137,154.6041320657751,0,0,0,0,0,0,0.6519342341963419,A
F4,default,treatment_effect_mean,-0.3374485596707819,25,0.84,0.0031039453031819096,0.0036868553507818924,0.011728309468913822,0.0322722808,0.009841438908128592,1.0069999764441324,528.8567966416163,0,0,0,0,0,0,0.7232663822324924,A
F5,default,treatment_effect_mean,-0.3374485596707819,25,0.92,-0.001175064834418087,-6.397553042181148e-4,0.0067080345272564085,0.023944636319999997,0.007297206860000052,1.0097695400719782,399.07438163088517,0,0,0,0,0,0,0.599315682481541,A
F6,default,treatment_effect_mean,-0.5624142661179699,25,0.96,0.0012204479659698464,0.0020514241729698846,0.0069823958722969775,0.02397935997999999,0.0072737756159552665,1.0165480765810853,172.42607902942478,0,0,0,0,0,0,0.5680500878012452,A
F7,default,treatment_effect_mean,-0.3374485596707819,25,0.76,0.003961869406181908,0.0064484694807819265,0.01708885029644719,0.04767477866,0.014533626253183288,1.0205779545079596,222.26640804408987,0,0,0,0,0,0,0.7463979904135702,A
F8,default,treatment_effect_mean,-0.3333333333333333,25,0.96,-4.2405083386668483e-4,-4.950959716666925e-4,0.004138308531380651,0.017896646920000002,0.00546642685482499,1.0368455869058628,74.31796101078174,0,3.84,84,0.08,0.08,0,0.05994800249011951,A
