scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,metadid_install_datetime,run_date,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,se_bias,se_ci_width,se_posterior_sd
A6,default,treatment_effect_mean,-0.3333333333333333,25,0.96,-1.0623369876668676e-4,0.00114940826083331,0.02263287409744625,0.08549691123999999,0.02610543715159382,1.0602645741168273,44.122654387215285,0.08,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,default,treatment_effect_sd,0.06666666666666667,25,0.8,0.01152743908605348,0.00956182515080333,0.02208228493807852,0.0696375677302,0.02139647416828408,1.0602645741168273,44.122654387215285,0.08,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7,default,beta_cov[dose],-0.08888888888888889,25,0.8,0.00440410444783126,0.00554405186756389,0.02355510616965684,0.07212699458799998,0.02201759395525835,1.006164663223781,626.3279676485892,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7,default,time_trend_mean,-0.08888888888888889,25,1,8.569549833988926e-4,0.00391944814238889,0.00735138820184313,0.03262225737399999,0.00998851030487513,1.006164663223781,626.3279676485892,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7,default,time_trend_sd,0.04444444444444444,25,0.76,0.00362627646134555,0.00654693835055555,0.01057008565357809,0.02734252917799999,0.00840636748997642,1.006164663223781,626.3279676485892,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7,default,treatment_effect_mean,-0.5555555555555556,25,0.84,-0.01315408009524442,-0.01311190348444446,0.02291703631663186,0.06519761448,0.01989026653494112,1.006164663223781,626.3279676485892,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7,default,treatment_effect_sd,0.06666666666666667,25,0.16,0.03509511243141333,0.03528713652358334,0.03862488819477958,0.05249577097799998,0.016210589885912,1.006164663223781,626.3279676485892,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8,default,time_trend_mean,-0.08888888888888889,25,0.84,-3.1691610519110733e-4,0.00153258788088889,0.0103809898825479,0.03151092978799999,0.00960775421368454,1.0061631342637327,1066.8178983504913,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8,default,time_trend_sd,0.04444444444444444,25,0.84,0.00228372300454555,9.064052800555542e-4,0.00803667488884228,0.02577721504599999,0.00791734622058142,1.0061631342637327,1066.8178983504913,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00251701895326668,-0.00399073764166668,0.01465530260779883,0.04830083472,0.01472643506504726,1.0061631342637327,1066.8178983504913,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8,default,treatment_effect_sd,0.06666666666666667,25,0.92,0.00476546478685333,0.00430185870533333,0.01451410546675974,0.03887987474399999,0.01194630829114757,1.0061631342637327,1066.8178983504913,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9,default,baseline_control_mean,0.45,25,0.92,-0.00362907378544081,0.00124214969749997,0.02697376324976877,0.05523682151232,0.01886277438497987,1.5509226490196304,7.05533357215689,0.04,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9,default,time_trend_mean,-0.04,25,0.96,0.003138770558692,0.00179046839449999,0.01199305306124022,0.02617530688199999,0.00901176923860664,1.5509226490196304,7.05533357215689,0.04,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9,default,time_trend_sd,0.02,25,0.92,6.670019529143997e-4,0.001242311980425,0.00426874590032038,0.01545724814339999,0.00482056090784847,1.5509226490196304,7.05533357215689,0.04,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9,default,treatment_effect_mean,-0.15,25,1,-8.064938332700066e-4,7.302090549999862e-4,0.01154498452195967,0.03462852697999999,0.01147934983563463,1.5509226490196304,7.05533357215689,0.04,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9,default,treatment_effect_sd,0.03,25,0.88,0.001505115655253,5.372344697500003e-4,0.00662178163820794,0.02252176092799999,0.00704177645065338,1.5509226490196304,7.05533357215689,0.04,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
F1,default,time_trend_mean,-0.08888888888888889,25,0.96,-0.0013481336137411,-0.00160435189461111,0.00517428010262597,0.01982202317199999,0.00604235854615231,1.0053800275373457,889.3474641266397,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
F1,default,time_trend_sd,0.04444444444444444,25,0.8,0.00334471492121555,0.00356993982305555,0.00634673944988666,0.01652728728799999,0.00505691192827313,1.0053800275373457,889.3474641266397,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
F1,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00317587101926668,-0.00164909129666668,0.00812645576669544,0.02406323259999998,0.00733549254883578,1.0053800275373457,889.3474641266397,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
