scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad
D3,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.010053882181966687,-0.01249597524916668,0.020211729257915007,0.06685474915999999,0.02050890910068808,1.0118018560745383,659.8606418577333,0
D3,default,treatment_effect_sd,0.06666666666666667,25,0.72,0.016473595224103334,0.015375430967333334,0.022232445994764843,0.05522081503999998,0.017223548219821163,1.0118018560745383,659.8606418577333,0
D4,default,time_trend_mean,-0.08888888888888889,25,0.92,-0.003751829059335108,-0.0015329755503611098,0.012376352577274737,0.04463424215999999,0.01368733272618229,1.01639321282963,447.4385171180236,0
D4,default,time_trend_sd,0.044444444444444446,25,0.76,0.010460487142335554,0.008878164272555555,0.01376471444952168,0.037536815229999985,0.011688813214889078,1.01639321282963,447.4385171180236,0
D4,default,treatment_effect_mean,-0.3333333333333333,25,0,0.12555768596462832,0.12482007288758332,0.12722117494206855,0.11535178421999998,0.03531314584479527,1.01639321282963,447.4385171180236,0
D4,default,treatment_effect_sd,0.06666666666666667,25,0,0.08400694790354334,0.08414676660033334,0.08650969528586275,0.09161723774399996,0.028457162593789442,1.01639321282963,447.4385171180236,0
D5,default,time_trend_mean,-0.08888888888888889,25,0.88,9.86257273169332e-4,-4.22607568136113e-4,0.018265569201100007,0.071913898274999985,0.023015141872832857,1.0194013004753268,270.410636828991,0
D5,default,time_trend_sd,0.044444444444444446,25,0.68,0.016123389608580594,0.016385320895555555,0.02830145533216497,0.06653843262419996,0.021856923314075523,1.0194013004753268,270.410636828991,0
D5,default,treatment_effect_mean,-0.3333333333333333,25,0.04,0.07024856189115332,0.07046713138983329,0.07302185232235295,0.08711726851999999,0.026658446702214383,1.0194013004753268,270.410636828991,0
D5,default,treatment_effect_sd,0.06666666666666667,25,0.12,0.044221736178973334,0.043229885860083334,0.047544536439501496,0.06900635102399999,0.021536346193545206,1.0194013004753268,270.410636828991,0
E1,default,time_trend_mean,-0.08888888888888889,25,0.84,-3.079552707691091e-4,-0.00338110930136111,0.013440685702627814,0.04169145270799999,0.01273383344055721,1.0164711697217936,518.7318532835109,0
E1,default,time_trend_sd,0.044444444444444446,25,0.88,0.008677168786925553,0.009354121574805557,0.01140222929971903,0.033725593531999984,0.010500520333553963,1.0164711697217936,518.7318532835109,0
E1,default,treatment_effect_mean,-0.3333333333333333,25,0.92,-0.010597360253466685,-0.010685333936666708,0.02138299638586488,0.06860658785999998,0.021043937602616126,1.0164711697217936,518.7318532835109,0
E1,default,treatment_effect_sd,0.06666666666666667,25,0.6,0.020467305545433336,0.01602802530658333,0.026942902530146216,0.05548830121999999,0.017285578777954908,1.0164711697217936,518.7318532835109,0
E2,default,time_trend_mean,-0.08888888888888889,25,0.88,5.088943039688931e-4,0.001246047101138889,0.0055293886020554486,0.018220955087999993,0.005563028531631591,1.0062204825280165,826.4683305640534,0
E2,default,time_trend_sd,0,25,0,0.008187530251110896,0.00742974087112755,0.008675899143413301,0.016553070316319994,0.0051671300602429875,1.0062204825280165,826.4683305640534,0
E2,default,treatment_effect_mean,-0.3333333333333333,25,0.8,-3.543493135666864e-4,6.491482983332908e-4,0.008531844111381321,0.02715486311999999,0.008262585126660784,1.0062204825280165,826.4683305640534,0
E2,default,treatment_effect_sd,0,25,0,0.009526909280024658,0.0083972936682693,0.010016522054118522,0.021169202369999994,0.0067359760321324055,1.0062204825280165,826.4683305640534,0
E3,default,time_trend_mean,-0.08888888888888889,25,0.84,-0.008013740857906735,-0.014163034309833608,0.055824085494201495,0.17179426443073995,0.05279162885342895,1.024215880888625,250.7956801269968,0
E3,default,time_trend_sd,0.22222222222222224,25,0.84,0.010947561573427762,0.0014946035452777506,0.04553902473353179,0.13475761987999993,0.04213412745971317,1.024215880888625,250.7956801269968,0
E3,default,treatment_effect_mean,-0.3333333333333333,25,0.92,0.009203466060813997,-0.005593846466220687,0.13096876428643467,0.5295148727199999,0.16175129470195154,1.024215880888625,250.7956801269968,0
E3,default,treatment_effect_sd,0.6666666666666666,25,0.92,0.04944872355993337,0.03153592060333332,0.11869628819908185,0.4105291337199999,0.12814662071970387,1.024215880888625,250.7956801269968,0
E4,default,time_trend_mean,-0.08888888888888889,25,0.96,6.398668424760912e-4,-0.003541130658361105,0.01380311306708687,0.05104179799999999,0.01551598979544288,1.007375797996148,676.8756307304534,0
E4,default,time_trend_sd,0.044444444444444446,25,0.84,0.007774787988870318,0.014099831127155557,0.017545880837010964,0.04916163298179999,0.015171441763621866,1.007375797996148,676.8756307304534,0
E4,default,treatment_effect_mean,-0.3333333333333333,25,0.92,-0.02139360453206669,-0.02644229686916666,0.028330133657201093,0.07751070139999999,0.023703191663714304,1.007375797996148,676.8756307304534,0
E4,default,treatment_effect_sd,0.06666666666666667,25,0.56,0.025947680356866433,0.024184777870333338,0.03331356588862643,0.06347855009599998,0.019682918770138565,1.007375797996148,676.8756307304534,0
E5,default,time_trend_mean,-0.08888888888888889,25,1,-0.0521951056582672,0.13314066744306138,0.45565936764781095,3.374307571999999,1.0981953241768514,1.7137498720710422,6.269373337076533,0.68
