scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,se_bias,se_ci_width,se_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
K13,default,time_trend_sd,0.045528614603915496,5,0.8,0.019331683435348794,0.006980034054714507,0.044835413348824536,0.10593041768699998,0.03268322536636935,0.020226840495461806,0.018980425785656688,0.005660581845794291,1.3058800984133259,6.953851220638432,0.2,49.4,225,0.8,0.4,0,0.11255287138521779
K13,default,treatment_effect_mean,-0.3374485596707819,5,1,0.005365776918781917,0.009227539540781926,0.012625125307823701,0.04711178569999998,0.014267723391901169,0.005714066570668339,0.005370373036176307,0.001638745347702105,1.3058800984133259,6.953851220638432,0.2,49.4,225,0.8,0.4,0,0.11255287138521779
K13,default,treatment_effect_sd,0.07626392697027408,5,0.8,-0.01483134916349408,-0.008890543196274081,0.02004569346755356,0.046708932189999997,0.014464496467339607,0.006742790753568639,0.007632188371346218,0.0025415570584324545,1.3058800984133259,6.953851220638432,0.2,49.4,225,0.8,0.4,0,0.11255287138521779
K14,default,baseline_difference_sd,0,5,0,0.0304920363440969,0.0277239457148185,0.03190708410912647,0.061845996026999986,0.02117200829597531,0.004698343749055212,0.005114430312028245,0.0014460855173278834,1.0097212713558052,176.92946778899707,0,0,0,0,0,0,0.6930221845107235
K14,default,time_trend_mean,-0.08998628257887518,5,1,0.0012855363338025838,0.0025519053273751896,0.010996412518983789,0.08850190958,0.02719169798598336,0.005460505576916317,0.012549241205792759,0.003997115758402967,1.0097212713558052,176.92946778899707,0,0,0,0,0,0,0.6930221845107235
K14,default,time_trend_sd,0.045528614603915496,5,0.8,0.014703717583462403,0.0048881037771195054,0.02822402725511515,0.08321886634899998,0.02638893039762103,0.012045708818115078,0.010732032602203996,0.003459247858036694,1.0097212713558052,176.92946778899707,0,0,0,0,0,0,0.6930221845107235
K14,default,treatment_effect_mean,-0.3374485596707819,5,1,0.018484016436781915,0.019150496435781927,0.02351258688845748,0.10482810640000002,0.03210887960489994,0.00726606631114867,0.006239788887597254,0.0017762458403772874,1.0097212713558052,176.92946778899707,0,0,0,0,0,0,0.6930221845107235
K14,default,treatment_effect_sd,0.07626392697027408,5,1,0.005250359085529921,0.0069258654221759225,0.008104998856652727,0.09358784496999999,0.029232192986599886,0.0030872615672848085,0.009571123122864629,0.0028559522137746656,1.0097212713558052,176.92946778899707,0,0,0,0,0,0,0.6930221845107235
K15,default,baseline_difference_sd,0,5,0,0.03423479638092365,0.039449734978365,0.03562960687150522,0.06802754772799999,0.022227179115386297,0.004935777612866824,0.004939860575758503,0.0015265995235744505,1.0107204507974996,287.4385070858646,0,2,10,0.2,0,0,0.7097011473420909
K15,default,time_trend_mean,-0.08998628257887518,5,1,8.395265047058675e-5,-0.003651463838974814,0.015101873834739628,0.090617868772,0.027883271898179404,0.0075508202414186825,0.00660795517158099,0.0020540055655310103,1.0107204507974996,287.4385070858646,0,2,10,0.2,0,0,0.7097011473420909
K15,default,time_trend_sd,0.045528614603915496,5,1,0.022799208271114507,0.024280221709584507,0.02388675536653197,0.07152871589999998,0.022283812115922803,0.0035627652234917137,0.007311052067564873,0.0023429493762230375,1.0107204507974996,287.4385070858646,0,2,10,0.2,0,0,0.7097011473420909
K15,default,treatment_effect_mean,-0.3374485596707819,5,1,0.009969331606781918,0.01729973964578191,0.027472420475683417,0.09740389400000003,0.029713732023270965,0.012799866348001144,0.009733646350927626,0.003166642158892996,1.0107204507974996,287.4385070858646,0,2,10,0.2,0,0,0.7097011473420909
K15,default,treatment_effect_sd,0.07626392697027408,5,0.6,-5.733536210283371e-4,0.002084564838340422,0.030876388825548405,0.082169364953,0.025270662974474382,0.015435532486212647,0.00587479329436154,0.0018167396114330628,1.0107204507974996,287.4385070858646,0,2,10,0.2,0,0,0.7097011473420909
K16,default,baseline_difference_sd,0,5,0,0.026126310493804872,0.0250522456321435,0.02736611880807416,0.057319429584,0.0191511370611551,0.004071865622749966,0.004826137564258484,0.001556282609011004,1.020643588510503,113.11906308880816,0,7.6,38,0.2,0.2,0,0.7130258165930071
K16,default,time_trend_mean,-0.08998628257887518,5,1,-0.006390870414101815,-0.004046317030624816,0.02179093711708146,0.06686222049,0.020362974801500698,0.010416353918127452,0.005412978741313047,0.001651353523665212,1.020643588510503,113.11906308880816,0,7.6,38,0.2,0.2,0,0.7130258165930071
K16,default,time_trend_sd,0.045528614603915496,5,1,-6.056401269159961e-4,1.4268015788450328e-4,0.016989612893624058,0.06059905828199998,0.018911656618156823,0.008489407316059613,0.00866134528913714,0.002753973128606809,1.020643588510503,113.11906308880816,0,7.6,38,0.2,0.2,0,0.7130258165930071
K16,default,treatment_effect_mean,-0.3374485596707819,5,0.8,0.006666162790781915,0.017750836125781932,0.030276265588769048,0.07660374430000001,0.02333994195965975,0.014766639188119915,9.256423796378765e-4,3.1393814228049597e-4,1.020643588510503,113.11906308880816,0,7.6,38,0.2,0.2,0,0.7130258165930071
K16,default,treatment_effect_sd,0.07626392697027408,5,0.8,0.003776756209258822,0.005084430418275915,0.017214357675831425,0.05936376248000001,0.018146953681069958,0.008397473172438259,0.007924997861721328,0.002265123276380219,1.020643588510503,113.11906308880816,0,7.6,38,0.2,0.2,0,0.7130258165930071
K17,default,baseline_difference_sd,0,5,0,0.0303773514509925,0.0296956836715625,0.030779165644436262,0.06615197571199999,0.021733459583703325,0.002478586118663692,0.002572344593569409,0.001134367783407674,1.0229338410567321,54.292110731599344,0,18.6,81,0.6,0.2,0,0.6947561160592842
K17,default,time_trend_mean,-0.08998628257887518,5,0.8,-0.006583534059524818,-0.00841258295112482,0.020028878574411345,0.06721501264999999,0.020423294448308205,0.009457973570427103,0.00821100899281841,0.002465284572878133,1.0229338410567321,54.292110731599344,0,18.6,81,0.6,0.2,0,0.6947561160592842
