scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,se_bias,se_ci_width,se_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,category
F1,default,treatment_effect_mean,-0.3374485596707819,25,0.96,5.256113833819143e-4,-6.81263114218067e-4,0.0074747849996556325,0.03203876066,0.009809687308973948,0.0015220072199885722,3.846099013815939e-4,1.2005581354856143e-4,1.0100713292595784,476.6600623133116,0,0,0,0,0,0,0.734888134542484,AF
F2,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-8.542365044666833e-4,-1.895037816667111e-4,0.005200048943775675,0.01701631754,0.0051697138667848004,0.001047035279016007,2.1623278945986208e-4,6.180465805075334e-5,1.0176630841605936,101.25564616301114,0,0.2,3,0.12,0,0,0.6187311927170113,AF
F3,default,treatment_effect_mean,-0.15,25,0.88,3.421843097999955e-4,5.085505399999857e-4,0.0029023198290173604,0.008755367199999997,0.002660980269503614,5.88301591024042e-4,7.841930704175096e-5,2.6057505942269543e-5,1.0159177629182234,183.43123917904026,0,0,0,0,0,0,0.678346519004411,AF
F4,default,treatment_effect_mean,-0.3374485596707819,25,0.88,0.0022113496263819112,0.0018897649257819116,0.010600267285235223,0.030537605359999997,0.009330498835617736,0.002116163975888218,4.7433730047521054e-4,1.4489124270460646e-4,1.0056906490879678,532.1748701259366,0,0,0,0,0,0,0.7151641613338355,AF
F5,default,treatment_effect_mean,-0.3374485596707819,25,0.92,-9.620278502180901e-4,-7.6057297421811e-4,0.006445534156935454,0.024022572279999987,0.007293505497073434,0.0013009517827284886,2.9186415100543724e-4,8.549892736878373e-5,1.0112985541961859,332.2677828639745,0,0,0,0,0,0,0.63022444180639825,AF
F6,default,treatment_effect_mean,-0.5624142661179699,25,0.96,9.593839431698559e-4,9.542057529698944e-4,0.006898460518841773,0.023786743499999985,0.007244290753366499,0.0013944583772264197,3.7005522300624443e-4,1.0818246626164347e-4,1.0142146305286632,221.240684598455,0,0,0,0,0,0,0.5558075628679583,AF
F7,default,treatment_effect_mean,-0.3374485596707819,25,0.8,0.0034665912973819136,0.005548681745781936,0.01633285965989131,0.047544689859999996,0.014513025896638236,0.003257971310536032,7.020995134244572e-4,2.1393319241170468e-4,1.0188696767383574,208.96252277159408,0,0,0,0,0,0,0.7398509486515538,AF
F8,default,treatment_effect_mean,-0.3333333333333333,25,0.96,-5.488410700666813e-4,-5.151120166667078e-4,0.004013729614525525,0.0178363005,0.005414215011745644,8.116033231184861e-4,1.6191352585328214e-4,5.145968487614535e-5,1.0069969590444603,573.2875532693231,0,0,0,0,0,0,0.21370732992456762,AF
J1,full,treatment_effect_mean,-0.3374485596707819,5,1,0.004063254640781911,0.010400850055781896,0.02046606419379784,0.07788054550000001,0.023582129897161463,0.010029328807413015,0.003934985928818207,0.0011988362223501426,1.0268640261169288,160.65747219721533,0,6.8,34,0.2,0.2,0,0.7144952656926147,J
J1,naive,treatment_effect_mean,-0.3374485596707819,5,1,0.005476720691781911,0.012997269925781929,0.01636014033973668,0.05259659469999998,0.01614573818276092,0.007708108107702031,0.002970605676887823,8.9608821281749e-4,1.0112158107383367,357.62681829479357,0,3.8,6,0.8,0,0,0.5969337315117813,J
